  Shrink.co.GWallFactSG Qmin       Shrink.co.EMet.factE  Cond.fact. Lengthcon. Ref.cond.  Oxy.deman  Oxygenref Met.factG  Metdecay WallFactTG TauFactG   SigmFactE  SigmFactG  WallFactSE WallFactTE RefSigma   RefTau     RefWallTh  WallFactME WallFactMG RandMet    RandHyd    CrossTS    CrossST    CrossAD    ActInf  Hdinp  Ninv      deltaP     Inflow       Conduct.      OxSupTot      tb        tc       tp       PathB      PathE    PathP   TissueFa  VesselFa   NetwFa    PathwE    VelErr     HctErr     DiaErr     VelR      DOxSatM   DOxPressM  DOxSat   DOxPress       EnCons    VolTot     OxDefic     OxEffic   RMSOxyHet   PCapRel     JVrel       AdAvgDia     AdAvgWall   ElongParaAvg  GrowthParaAvg  TauVarRMS   SigmaErr  WallLumen     TauErr    SigAVDiff    SigRsq    SigB     TauAVDiff    TauB      RMSTauP    RMSSigP   RMSAreaP    RMSD3P       Kte DelSeg AdRun DerrR AdRanR OptPar     SigMean  TauMean  AvgDia   AWallTh  AWallArCapFlRMS  CapFluxRMS CapPO2RMS ConsAdSens OxExtr. PathLqRMS  OxDemand  FlowDemR2 FlowDemB
   0.019882   0.674328   0.010000   2.558196   0.813091   1.588077   14292.00    6618.00  0.0000400  94.434  -0.327331   10000.00   0.114198   0.000000   0.000000   1.000000   0.674328   0.114198      34168   0.559846   0.803949   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.030000  1.0000  0.450   0       40.0217    399.9998    9.99456205    85.01360     1.342     0.980     1.638    4116.6    4052.0    4169.4  0.730297  0.745177  0.972547  1.007697  1.3802838  0.2070907  0.1397524  0.0000000   0.01988     9.265   0.01988     9.265     21.3396     8.94473   0.0000000   0.1039295   0.0342654   0.3048210  -0.02511   0.003157935   0.100091870   0.000195404   0.057989927     0.9326     0.28833   0.204503     0.28665   0.015878    0.63803    0.48558    0.26852    0.30680   0.279449   0.088689   0.165440   0.173483   1.000000   0   600     0   1   0.00000000    118359   51.671  14.6879  2.74139  2.74139   2.52081   2.87080   0.04445   1.00000   0.02115   0.39905   1.78612   0.00000   0.00000
 
  Name  oldDia   newDia   Pr_mean  Tau_real  Tau_fit    Vel       Flow    Visc      HD     P_O2      S_O2     S_tot   MetStim   Hydrod   CondSti MetLoc   MetConv   Typ   WallTh   Sigma    SO2in    SO2out     deltaP   ConsAdFact
    39    6.866    8.085   35.314  196.963   -1.483   3.3811     10.4165  5.888   0.4239  92.3356   0.9348   0.0008   0.0937   0.0000   0.0938   0.0196      2.5     1    3.897     72465   0.9351   0.9346     1.93416   1.0000000
    40   12.934   13.461   26.127   41.850   -1.238   1.3297     11.3561  5.296   0.5385  89.0990   0.9280   0.0001   0.4815   0.0000   0.3030   0.1567     23.1     1    2.451    113151   0.9291   0.9270     1.48077   1.0000000
    41   11.491   12.715   24.376   30.835   -1.204   0.8617      6.5663  5.688   0.5438  87.3168   0.9239   0.0001   0.7003   0.0000   0.2504   0.3976     26.4     1    2.006    119334   0.9270   0.9207     2.02126   1.0000000
    42    8.290   10.020   35.225   99.484   -1.481   2.9177     13.8066  4.271   0.3853  91.3702   0.9329   0.0005   0.2431   0.0000   0.2047   0.2411     10.4     1    3.508     90638   0.9376   0.9282    18.71872   1.0000000
    43    9.068    9.844   29.231   76.428   -1.313   1.7337      7.9183  5.425   0.4562  89.9433   0.9299   0.0003   0.3863   0.0000   0.1777   0.3083     11.4     1    2.682     91095   0.9334   0.9264     7.39582   1.0000000
    44    9.075   10.407   24.728   21.872   -1.210   0.9387      4.7917  3.031   0.2818  82.3762   0.9106   0.0001   0.9592   0.0000   0.1839   0.7565     38.9     1    1.566    126125   0.9224   0.8989     2.50251   1.0000000
   101    7.646    8.947   30.607   54.122   -1.351   1.3385      5.0505  4.523   0.3718  87.2004   0.9236   0.0002   0.7001   0.0000   0.0791   0.6721     20.3     2    2.301     99808   0.9340   0.9131     8.88327   1.0000000
   102    7.496    8.734   30.607   57.492   -1.351   1.3599      4.8893  4.616   0.3713  87.4139   0.9241   0.0002   0.6740   0.0000   0.0767   0.6449     18.2     2    2.315     97456   0.9340   0.9142     8.88327   1.0000000
   103    8.778   10.080   27.936   43.383   -1.280   1.4255      6.8265  3.835   0.3513  85.8959   0.9203   0.0001   0.8185   0.0000   0.0708   0.7863     38.2     2    2.151    105952   0.9333   0.9073    10.07874   1.0000000
   104    8.946    9.886   26.593   44.141   -1.248   1.0249      4.7209  5.322   0.4515  86.6250   0.9222   0.0001   0.7936   0.0000   0.0780   0.7358     24.7     2    2.059    102917   0.9318   0.9125     6.91184   1.0000000
   105    8.946    9.886   26.593   44.141   -1.248   1.0249      4.7209  5.322   0.4515  86.6250   0.9222   0.0001   0.7936   0.0000   0.0780   0.7358     24.7     2    2.059    102917   0.9318   0.9125     6.91184   1.0000000
   106    7.432    8.134   24.887   47.554   -1.213   1.4934      4.6567  3.238   0.2361  83.8625   0.9149   0.0002   0.7817   0.0000   0.0502   0.6215     23.6     2    1.742     94110   0.9250   0.9048     4.87298   1.0000000
   108    7.944   10.046   22.964   12.369   -1.182   0.4987      2.3722  3.114   0.2821  74.3552   0.8822  -0.0000   1.4273   0.0000   0.0623   0.9277     61.3     2    1.216    141795   0.8989   0.8656     1.02623   1.0000000
   109   12.782   11.890   21.828   70.788   -1.169   1.8724     12.4767  5.619   0.5207  88.3002   0.9262   0.0001   0.5482   0.0000   0.0931   0.3021     31.6     2    2.437     85602   0.9285   0.9239     6.61646   1.0000000
   110    8.976   10.042   22.147   54.017   -1.173   1.3507      6.4191  5.020   0.4375  87.0429   0.9232   0.0001   0.6833   0.0000   0.0790   0.5070     24.6     2    1.955     90638   0.9285   0.9179     5.97840   1.0000000
   111    9.821   11.166   23.077   31.761   -1.184   1.2250      7.1985  3.619   0.3599  84.4452   0.9165   0.0001   0.9225   0.0000   0.0941   0.8296     53.1     2    1.796    111106   0.9292   0.9038     6.99978   1.0000000
   112   13.727   15.332   21.718   15.366   -1.168   0.5467      6.0572  5.387   0.5815  80.6815   0.9054   0.0000   1.3119   0.0000   0.0792   0.5286    118.4     2    1.643    149641   0.9101   0.9007     1.23312   1.0000000
   114   10.999   12.592   22.318   20.867   -1.175   0.5383      4.0230  6.102   0.5624  82.8924   0.9121   0.0000   1.1511   0.0000   0.0807   0.8298     53.1     2    1.633    129717   0.9208   0.9035     2.43363   1.0000000
   115    9.849    9.207   24.330   42.330   -1.203   0.6936      2.7710  7.024   0.5139  86.1326   0.9209   0.0001   0.8368   0.0000   0.0554   0.6077     16.3     2    1.800     99233   0.9269   0.9150     2.91987   1.0000000
   116    7.892    9.236   29.041   65.273   -1.308   1.6573      6.6636  4.548   0.3827  87.9916   0.9255   0.0003   0.6287   0.0000   0.0674   0.6006     21.7     2    2.406     93753   0.9346   0.9163    12.34171   1.0000000
   117    7.592    8.433   28.354   84.887   -1.290   1.5903      5.3306  5.628   0.4174  88.8552   0.9275   0.0003   0.5395   0.0000   0.0410   0.5084     13.2     2    2.446     84138   0.9346   0.9203    11.98572   1.0000000
   118    7.100    7.863   28.354  107.933   -1.290   1.7452      5.0859  6.079   0.4308  89.6704   0.9293   0.0004   0.4328   0.0000   0.0350   0.3959      8.7     2    2.549     77284   0.9346   0.9240    11.98572   1.0000000
   119    9.941   10.928   24.536   35.277   -1.207   0.7008      3.9441  6.877   0.5565  85.8500   0.9202   0.0001   0.9106   0.0000   0.0714   0.7649     28.2     2    1.903    110347   0.9284   0.9120     4.35644   1.0000000
   120    7.753    8.872   27.631   63.775   -1.272   1.2557      4.6588  5.633   0.4382  87.9605   0.9254   0.0002   0.6392   0.0000   0.0626   0.5721     15.7     2    2.226     91922   0.9327   0.9181     7.98844   1.0000000
   121   10.643   11.121   23.062   43.280   -1.184   1.0589      6.1733  5.682   0.5050  86.1332   0.9209   0.0001   0.8058   0.0000   0.0743   0.5770     33.4     2    1.989    101409   0.9264   0.9155     4.94265   1.0000000
   122   11.338   13.485   22.402   15.229   -1.176   0.4608      3.9493  5.571   0.5545  82.2860   0.9103   0.0000   1.1998   0.0000   0.1492   0.9207     58.8     2    1.537    146016   0.9207   0.9000     1.92754   1.0000000
   123   11.443   11.446   24.153   53.991   -1.200   1.3205      8.1537  5.850   0.5220  87.9831   0.9254   0.0002   0.6274   0.0000   0.1250   0.4156     26.5     2    2.279     97046   0.9291   0.9218     5.42957   1.0000000
   124    8.117    8.922   25.678   51.247   -1.228   1.1853      4.4475  4.823   0.3912  86.7118   0.9224   0.0002   0.7370   0.0000   0.0622   0.6375     19.9     2    1.958     95205   0.9309   0.9139     6.38307   1.0000000
   125    7.609    8.977   30.845   80.444   -1.358   2.0937      7.9525  4.312   0.3575  88.7806   0.9273   0.0003   0.5383   0.0000   0.0660   0.5252     19.5     2    2.690     89274   0.9360   0.9185    16.71681   1.0000000
   126    7.763    9.433   32.008  103.520   -1.390   3.1048     13.0208  3.932   0.3419  90.2698   0.9306   0.0004   0.3749   0.0000   0.1019   0.3741     17.9     2    3.186     84601   0.9378   0.9233    26.57056   1.0000000
   127    9.787   10.503   26.052   86.083   -1.236   2.1727     11.2967  5.202   0.4614  89.6264   0.9292   0.0003   0.4454   0.0000   0.1031   0.3911     20.2     2    2.695     85130   0.9340   0.9244    15.28945   1.0000000
   128   10.448   11.210   22.447   36.444   -1.176   1.2950      7.6706  3.944   0.3900  85.3053   0.9188   0.0001   0.8388   0.0000   0.1045   0.7178     45.3     2    1.858    105289   0.9282   0.9094     6.83876   1.0000000
   129    9.318    9.768   22.557   47.906   -1.177   1.3646      6.1360  4.287   0.3795  85.9425   0.9204   0.0001   0.7617   0.0000   0.0651   0.6213     29.4     2    1.866     93824   0.9282   0.9127     6.61870   1.0000000
   130    8.172    8.694   21.420   24.471   -1.166   0.5872      2.0914  4.529   0.3588  82.1865   0.9100   0.0001   1.0862   0.0000   0.0566   0.9161     23.5     2    1.307    109284   0.9242   0.8959     2.23457   1.0000000
